entry_id	topic	meaning_ru	ru_definition	en	fr	de	ar	zh	ru	es
mall	home	торговый центр	понятие или предмет: торговый центр	mall|/ˈmɔɫ/	centre commercial|/sɑ̃tʁ kɔmɛʁsjal/	Einkaufszentrum|/ˈaɪ̯nkaʊ̯fsˌt͡sɛntʁʊm/	مَرْكَز تَسَوُّق|markaz tasawuq	购物中心|gòu wù zhōng xīn	торго́вый центр|torgovyi tsentr	centro comercial|/ˈsẽn̪t̪ɾo komeɾˈsjal/
neighborhood	home	соседство	понятие или предмет: соседство	neighborhood|/ˈneɪbɝˌhʊd/	voisinage|/vwazinaʒ/	Nachbarschaft|/ˈnaxbaːɐ̯ʃaft/	جِوَار|jiwaar	附近|fù jìn	сосе́дство|sosedstvo	barrio|/barjo/
object	home	предмет	понятие или предмет: предмет	object|/ˈɑbdʒɛkt/	objet|/ɔbʒɛ/	Gegenstand|/ˈɡeːɡn̩ʃtant/	شَيْء|shay	物体|wù tǐ	предме́т|predmet	objeto|/oβ̞ˈxet̪o/
outside	home	снаружи	понятие или предмет: снаружи	outside|/ˈaʊtˈsaɪd/	hors|/ʼɔʁ/	außerhalb|/ˈaʊ̯sɐhalp/	خَارِج|khaarij	外边|wài biān	снару́жи|snaruzhi	fuera|/ˈfweɾa/
own	home	свой	понятие или предмет: свой	own|/ˈoʊn/	propre|/pʁɔpʁ/	eigen|/ˈaɪ̯ɡn̩/	مِلْك|milk	自己的|zì jǐ de	свой|svoi	propio|/ˈpɾopjo/
paint	home	краска	понятие или предмет: краска	paint|/ˈpeɪnt/	peinture|/pɛ̃tyʁ/	Farbe|/ˈfaʁbə/	طِلَاء|tilaa	油漆|yóu qī	кра́ска|kraska	pintura|/pĩn̪ˈt̪uɾa/
painting	home	живопись	понятие или предмет: живопись	painting|/ˈpeɪntɪŋ/	toile|/twal/	Gemälde|/ɡəˈmɛːldə/	لَوْحَة|lawhaa	图画|tú huà	жи́вопись|zhivopis	cuadro|/ˈkwaðɾo/
pants	home	брюки	понятие или предмет: брюки	pants|/ˈpænts/	pantalon|/pɑ̃talɔ̃/	Hose|/ˈhoːzə/	بِنْطَال|bintaal	裤子|kù zi	брю́ки|bryuki	pantalón|/pãn̪t̪aˈlõn/
paper	home	бумага	понятие или предмет: бумага	paper|/ˈpeɪpɝ/	papier|/papje/	Papier|/paˈpiːɐ̯/	وَرَق|waraq	纸|zhǐ	бума́га|bumaga	papel|/paˈpel/
pencil	home	карандаш	понятие или предмет: карандаш	pencil|/ˈpɛnsəɫ/	crayon|/kʁɛjɔ̃/	Bleistift|/ˈblaɪ̯ˌʃtɪft/	قَلَم رَصَاص|qalam rasaas	铅笔|qiān bǐ	каранда́ш|karandash	lápiz|/ˈlapis/
photograph	home	фотография	понятие или предмет: фотография	photograph|/ˈfoʊtəˌɡɹæf/	photographie|/fɔtɔgʁafi/	Photographie|/fotoɡʁaˈfiː/	صُورَة شَمْسِيَّة|suwraa shamsiyaa	照片|zhào piān	фотогра́фия|fotografiya	foto|/ˈfot̪o/
picture	home	картина	понятие или предмет: картина	picture|/ˈpɪktʃɝ/	image|/imaʒ/	Bild|/bɪlt/	صُورَة|suwraa	圖畫|tú huà	карти́на|kartina	imagen|/iˈmaxẽn/
pool	home	бассейн	понятие или предмет: бассейн	pool|/ˈpuɫ/	piscine|/pisin/	Schwimmbad|/ˈʃvɪmbaːt/	مَسْبَح|masbah	游泳池|yóu yǒng chí	бассе́йн|bassein	piscina|/pisˈθina/
shirt	home	рубашка	понятие или предмет: рубашка	shirt|/ˈʃɝt/	chemise|/ʃmiz/	Hemd|/hɛmt/	قَمِيص|qamiys	衬衫|chèn shān	руба́шка|rubashka	camisa|/kaˈmisa/
shoe	home	туфля	понятие или предмет: туфля	shoe|/ˈʃu/	chaussure|/ʃosyʁ/	Schuh|/ʃuː/	حِذَاء|hidhaa	鞋子|xié zi	ту́фля|tuflya	zapato|/saˈpat̪o/
shopping	home	покупка	понятие или предмет: покупка	shopping|/ˈʃɑpɪŋ/	shopping|/ʃɔpiŋ/	Einkaufen|/ˈaɪ̯nˌkaʊ̯fn̩/	تَسَوُّق|tasawuq	买东西|mǎi dōng xī	поку́пка|pokupka	compras|/ˈkõmpɾas/
shower	home	душ	понятие или предмет: душ	shower|/ˈʃaʊɝ/	douche|/duʃ/	Dusche|/ˈduːʃə/	دُشّ|dush	淋浴|lín yù	душ|dush	ducha|/ˈd̪ut͡ʃa/
skirt	home	юбка	понятие или предмет: юбка	skirt|/ˈskɝt/	jupe|/ʒyp/	Rock|/ʁɔk/	تَنُّورَة|tanuwraa	裙子|qún zi	ю́бка|yubka	falda|/ˈfal̪d̪a/
plant	home	растение	понятие или предмет: растение	plant|/ˈpɫænt/	plante|/plɑ̃t/	Pflanze|/ˈp͡flant͡sə/	نَبَات|nabaat	植物|zhí wù	расте́ние|rastenie	planta|/ˈplãn̪t̪a/
sweater	home	свитер	понятие или предмет: свитер	sweater|/ˈswɛtɝ/	sweater|/switœʁ/	Sweatshirt|/ˈsvɛtˌʃœːɐ̯t/	سْوِيتَر|swiytar	毛衣|máo yī	сви́тер|sviter	jersey|/xeɾˈsej/
wear	home	носить	действие: носить	wear|/ˈwɛɹ/	porter|/pɔʁte/	tragen|/ˈtʁaːɡn̩/	لَبِسَ|labisa	穿|chuān	носи́ть|nosit	llevar|/ʝeˈβ̞aɾ/
yard	home	двор	понятие или предмет: двор	yard|/ˈjɑɹd/	cour|/kuʁ/	Hof|/hoːf/	يَارْدَة|yaardaa	院子|yuàn zi	двор|dvor	patio|/ˈpat̪jo/
address	travel	адрес	понятие или предмет: адрес	address|/ˈæˌdɹɛs/	adresse|/adʁɛs/	Adresse|/aˈdʁɛsə/	عُنْوَان|aunwaan	地址|dì zhǐ	а́дрес|adres	dirección|/d̪iɾekˈsjõn/
arrive	travel	прибывать	действие: прибывать	arrive|/ɝˈaɪv/	arriver|/aʁive/	ankommen|/ˈanˌkɔmən/	وَصَلَ|wasala	到达|dào dá	прибыва́ть|pribyvat	llegar|/ʝeˈɣ̞aɾ/
away	travel	далеко	понятие или предмет: далеко	away|/əˈweɪ/	loin|/lwɛ̃/	weg|/veːk/	بَعِيدًا|baaiydana	远离|yuǎn lí	далеко́|daleko	lejos|/ˈlexos/
beach	travel	пляж	понятие или предмет: пляж	beach|/ˈbitʃ/	plage|/plaʒ/	Strand|/ʃtʁant/	شَاطِئ|shaatii	海滩|hǎi tān	пляж|plyazh	playa|/ˈplaʝa/
bicycle	travel	велосипед	понятие или предмет: велосипед	bicycle|/ˈbaɪsɪkəɫ/	vélo|/velo/	Fahrrad|/ˈfaːɐ̯ˌʁaːt/	دَرَّاجَة|daraajaa	自行车|zì xíng chē	велосипе́д|velosiped	bicicleta|/bisiˈklet̪a/
air	travel	воздух	понятие или предмет: воздух	air|/ˈɛɹ/	air|/ɛʁ/	Luft|/lʊft/	هَوَاء|hawaa	空气|kōng qì	во́здух|vozdukh	aire|/aiɾe/
climb	travel	подниматься	действие: подниматься	climb|/ˈkɫaɪm/	grimper|/gʁɛ̃pe/	klettern|/ˈklɛtɐn/	تَسَلَّقَ|tasalaqa	登|dēng	поднима́ться|podnimatsya	subir|/suˈβ̞iɾ/
drive	travel	вести	действие: вести	drive|/ˈdɹaɪv/	conduire|/kɔ̃dɥiʁ/	fahren|/ˈfaːʁən/	قَادَ|qaada	开车|kāi chē	вести́|vesti	conducir|/kõn̪d̪uˈsiɾ/
flight	travel	рейс	понятие или предмет: рейс	flight|/ˈfɫaɪt/	vol|/vɔl/	Flug|/fluːk/	رِحْلَة جَوِّيَّة|rihlaa jawiyaa	航班|háng bān	рейс|reis	vuelo|/ˈbwelo/
follow	travel	следовать	действие: следовать	follow|/ˈfɑɫoʊ/	suivre|/sɥivʁ/	folgen|/ˈfɔlɡn̩/	تَبِعَ|tabiaa	随|suí	сле́довать|sledovat	seguir|/seˈɣ̞iɾ/
geography	travel	география	понятие или предмет: география	geography|/dʒiˈɑɡɹəfi/	géographie|/ʒeɔgʁafi/	Geografie|/ˌɡeoɡʁaˈfiː/	جُغْرَافِيَا|jughraafiyaa	地理学|dì lǐ xué	геогра́фия|geografiya	geografía|/xeoɣ̞ɾaˈfia/
leave	travel	оставлять	действие: оставлять	leave|/ˈɫiv/	laisser|/lɛse/	lassen|/ˈlasn̩/	تَرَكَ|taraka	留|liú	оставля́ть|ostavlyat	dejar|/d̪eˈxaɾ/
map	travel	карта	понятие или предмет: карта	map|/ˈmæp/	plan|/plɑ̃/	Landkarte|/ˈlantˌkaʁtə/	خَرِيطَة|khariytaa	地图|dì tú	ка́рта|karta	mapa|/ˈmapa/
mile	travel	миля	понятие или предмет: миля	mile|/ˈmaɪɫ/	mille|/mil/	Meile|/ˈmaɪ̯lə/	مِيل|miyl	英里|yīng lǐ	ми́ля|milya	milla|/ˈmiʝa/
mountain	travel	гора	понятие или предмет: гора	mountain|/ˈmaʊntən/	montagne|/mɔ̃taɲ/	Berg|/bɛʁk/	جَبَل|jabal	山|shān	гора́|gora	montaña|/mõn̪ˈt̪aɲa/
move	travel	двигаться	действие: двигаться	move|/ˈmuv/	se mouvoir|/\sə mu.vwaʁ\/	sich bewegen|/zɪç bəˈveːɡn̩/	حَرُكَ|haruka	动|dòng	дви́гаться|dvigatsya	moverse|/moˈβ̞eɾse/
museum	travel	музей	понятие или предмет: музей	museum|/ˈmjuziəm/	musée|/myze/	Museum|/muˈzeːʊm/	مَتْحَف|mathaf	博物馆|bó wù guǎn	музе́й|muzei	museo|/muˈseo/
near	travel	близкий	понятие или предмет: близкий	near|/ˈnɪɹ/	près|/pʁɛ/	nah|/naː/	قَرِيب|qariyb	近|jìn	бли́зкий|blizkii	cercano|/seɾˈkano/
park	travel	парк	понятие или предмет: парк	park|/ˈpɑɹk/	parc|/paʁk/	Park|/paʁk/	حَدِيقَة|hadiyqaa	公园|gōng yuán	парк|park	parque|/ˈpaɾke/
passport	travel	паспорт	понятие или предмет: паспорт	passport|/ˈpæsˌpɔɹt/	passeport|/paspɔʁ/	Reisepass|/ˈʁaɪ̯zəˌpas/	جَوَاز سَفَر|jawaaz safar	护照|hù zhào	па́спорт|pasport	pasaporte|/pasaˈpoɾt̪e/
plane	travel	самолёт	понятие или предмет: самолёт	plane|/ˈpɫeɪn/	avion|/avjɔ̃/	Flugzeug|/ˈfluːkˌt͡sɔɪ̯k/	طَائِرَة|taaiiraa	飞机|fēi jī	самолёт|samolet	avión|/aˈβjon/
return	travel	возвращение	понятие или предмет: возвращение	return|/ɹiˈtɝn/	retour|/ʁətuʁ/	Rückkehr|/ˈʁʏkˌkeːɐ̯/	عَوْدَة|aawdaa	归还|guī huán	возвраще́ние|vozvrashchenie	vuelta|/ˈbwel̪t̪a/
ride	travel	ехать	действие: ехать	ride|/ˈɹaɪd/	rouler|/ʁule/	reiten|/ˈʁaɪ̯tn̩/	رَكِبَ|rakiba	骑|qí	е́хать|ekhat	montar|/mõn̪ˈt̪aɾ/
south	travel	юг	понятие или предмет: юг	south|/ˈsaʊθ/	sud|/syd/	Süden|/ˈzyːdn̩/	جَنُوب|januwb	南|nán	юг|yug	sur|/ˈsuɾ/
stay	travel	оставаться	действие: оставаться	stay|/ˈsteɪ/	rester|/ʁɛste/	sich aufhalten|/zɪç ˈaʊ̯fˌhaltn̩/	مَكَثَ|makatha	呆|dāi	остава́ться|ostavatsya	quedar[se]|/keˈð̞aɾ/
taxi	travel	такси	понятие или предмет: такси	taxi|/ˈtæksi/	taxi|/taksi/	Taxi|/ˈtaksi/	تَاكْسِي|taaksiy	出租汽车|chū zū qì chē	такси́|taksi	taxi|/ˈt̪aksi/
theater	travel	театр	понятие или предмет: театр	theater|/ˈθiətɝ/	théâtre|/teatʁ/	Theater|/teˈaːtɐ/	مَسْرَح|masrah	剧场|jù chǎng	теа́тр|teatr	teatro|/t̪eˈat̪ɾo/
there	travel	там	понятие или предмет: там	there|/ˈðɛɹ/	là|/la/	dort|/dɔʁt/	هُنَاكَ|hunaaka	那里|nà lǐ	там|tam	ahí|/aˈi/
capital	travel	столица	понятие или предмет: столица	capital|/ˈkæpətəɫ/	capitale|/kapital/	Hauptstadt|/ˈhaʊ̯ptˌʃtat/	عَاصِمَة|aaasimaa	首都|shǒu dū	столи́ца|stolitsa	capital|/kapiˈt̪al/
traffic	travel	движение	понятие или предмет: движение	traffic|/ˈtɹæfɪk/	circulation|/siʁkylasjɔ̃/	Verkehr|/fɛɐ̯ˈkeːɐ̯/	مُرُور|muruwr	交通|jiāo tōng	движе́ние|dvizhenie	tráfico|/ˈt̪ɾafiko/
travel	travel	путешествовать	понятие или предмет: путешествовать	travel|/ˈtɹævəɫ/	voyager|/vwajaʒe/	reisen|/ˈʁaɪ̯zn̩/	سَافَرَ|saafara	旅游|lǚ yóu	путеше́ствовать|puteshestvovat	viajar|/bjaˈxaɾ/
trip	travel	поездка	понятие или предмет: поездка	trip|/ˈtɹɪp/	voyage|/vwajaʒ/	Reise|/ˈʁaɪ̯zə/	رِحْلَة|rihlaa	旅行|lǚ xíng	пое́здка|poezdka	viaje|/ˈbjaxe/
truck	travel	грузовик	понятие или предмет: грузовик	truck|/ˈtɹək/	camion|/kamjɔ̃/	Lastwagen|/ˈlastˌvaːɡn̩/	شَاحِنَة|shaahinaa	卡车|kǎ chē	грузови́к|gruzovik	camión|/kaˈmjõn/
turn	travel	поворот	понятие или предмет: поворот	turn|/ˈtɝn/	virage|/viʁaʒ/	Drehung|/ˈdʁeːʊŋ/	اِنْعِطَاف|ainaitaaf	转弯|zhuǎn wān	поворо́т|povorot	girada|/xiˈɾað̞a/
vacation	travel	каникулы	понятие или предмет: каникулы	vacation|/veɪˈkeɪʃən/	vacances|/vakɑ̃s/	Ferien|/ˈfeːʁiən/	عُطْلَة|autlaa	假期|jià qī	кани́кулы|kanikuly	vacaciones|/bakaˈsjones/
visit	travel	посещать	понятие или предмет: посещать	visit|/ˈvɪzɪt/	visiter|/vizite/	besuchen|/bəˈzuːxn̩/	زَارَ|zaara	参观|cān guān	посеща́ть|poseshchat	visitar|/bisiˈt̪aɾ/
walk	travel	ходьба	понятие или предмет: ходьба	walk|/ˈwɑk/	promenade|/pʁɔmnad/	Spaziergang|/ʃpaˈt͡siːɐ̯ˌɡaŋ/	مَسِير|masiyr	散步|sàn bù	ходьба́|khodba	paseo|/paˈseo/
wait	travel	ждать	действие: ждать	wait|/ˈweɪt/	attendre|/atɑ̃dʁ/	warten|/ˈvaʁtən/	اِنْتَظَرَ|aintazara	等|děng	ждать|zhdat	esperar|/espeˈɾaɾ/
center	travel	центр	понятие или предмет: центр	center|/ˈsɛnɝ/	centre|/sɑ̃tʁ/	Zentrum|/ˈt͡sɛntʁʊm/	مَرْكَز|markaz	中心|zhōng xīn	центр|tsentr	centro|/ˈsẽn̪t̪ɾo/
local	travel	местный	понятие или предмет: местный	local|/ˈɫoʊkəɫ/	local|/lɔkal/	lokal|/loˈkaːl/	مَحَلِّيّ|mahaliy	本地|běn dì	ме́стный|mestnyi	local|/loˈkal/
friday	time	пятница	понятие или предмет: пятница	friday|/ˈfɹaɪˌdeɪ/	vendredi|/vɑ̃dʁədi/	Freitag|/ˈfʁaɪ̯taːk/	الْجُمُعَة|aljumuaaa	星期五|xīng qī wǔ	пя́тница|pyatnitsa	viernes|/ˈbjeɾnes/
monday	time	понедельник	понятие или предмет: понедельник	monday|/ˈmənˌdeɪ/	lundi|/lœ̃di/	Montag|/ˈmoːntaːk/	الْاِثْنَيْن|alaithnayn	星期一|xīng qī yī	понеде́льник|ponedelnik	lunes|/ˈlunes/
saturday	time	суббота	понятие или предмет: суббота	saturday|/ˈsæˌtɪˌdeɪ/	samedi|/samdi/	Samstag|/ˈzamstaːk/	السَّبْت|alsabt	星期六|xīng qī liù	суббо́та|subbota	sábado|/ˈsaβ̞að̞o/
sunday	time	воскресенье	понятие или предмет: воскресенье	sunday|/ˈsənˌdeɪ/	dimanche|/dimɑ̃ʃ/	Sonntag|/ˈzɔntaːk/	الْأَحَد|alaahad	星期日|xīng qī rì	воскресе́нье|voskresene	domingo|/d̪oˈmĩŋgo/
thursday	time	четверг	понятие или предмет: четверг	thursday|/ˈθɝzˌdeɪ/	jeudi|/ʒødi/	Donnerstag|/ˈdɔnɐsˌtaːk/	الْخَمِيس|alkhamiys	星期四|xīng qī sì	четве́рг|chetverg	jueves|/ˈxweβ̞es/
tuesday	time	вторник	понятие или предмет: вторник	tuesday|/ˈtjuzˌdeɪ/	mardi|/maʁdi/	Dienstag|/ˈdiːnsˌtaːk/	الثُّلَاثَاء|althulaathaa	星期二|xīng qī èr	вто́рник|vtornik	martes|/ˈmaɾt̪es/
wednesday	time	среда	понятие или предмет: среда	wednesday|/ˈwɛnzˌdeɪ/	mercredi|/mɛʁkʁədi/	Mittwoch|/ˈmɪtˌvɔx/	الْأَرْبِعَاء|alaarbiaaa	星期三|xīng qī sān	среда́|sreda	miércoles|/ˈmjeɾkoles/
weather	time	погода	понятие или предмет: погода	weather|/ˈwɛðɝ/	temps|/tɑ̃/	Wetter|/ˈvɛtɐ/	طَقْس|taqs	天气|tiān qì	пого́да|pogoda	tiempo atmosférico|/ˈt̪jẽmpo at̪mosˈfeɾiko/
age	time	возраст	понятие или предмет: возраст	age|/ˈeɪdʒ/	âge|/aʒ/	Alter|/ˈaltɐ/	عُمْر|aumr	年岁|nián suì	во́зраст|vozrast	edad|/eˈð̞að̞/
birthday	time	день рождения	понятие или предмет: день рождения	birthday|/ˈbɝθˌdeɪ/	anniversaire|/anivɛʁsɛʁ/	Geburtstag|/ɡəˈbuːɐ̯t͡sˌtaːk/	عِيد مِيلَاد|aiyd miylaad	生日|shēng rì	день рожде́ния|den rozhdeniya	cumpleaños|/kũmpleˈaɲos/
beginning	time	начало	понятие или предмет: начало	beginning|/bɪˈɡɪnɪŋ/	début|/deby/	Anfang|/ˈanˌfaŋ/	بِدَايَة|bidaayaa	开端|kāi duān	нача́ло|nachalo	comienzo|/koˈmjẽnso/
early	time	ранний	понятие или предмет: ранний	early|/ˈɝɫi/	de bonne heure|/dbɔnœʁ/	früh|/fʁyː/	بَاكِر|baakir	早|zǎo	ра́нний|rannii	temprano|/t̪ẽmˈpɾano/
end	time	конец	понятие или предмет: конец	end|/ˈɛnd/	fin|/fɛ̃/	Ende|/ˈɛndə/	نِهَايَة|nihaayaa	结束|jié shù	коне́ц|konets	fin|/ˈfĩn/
event	time	событие	понятие или предмет: событие	event|/iˈvɛnt/	événement|/evɛnmɑ̃/	Ereignis|/ɛɐ̯ˈʔaɪ̯ɡnɪs/	وَاقِعَة|waaqiaaa	事件|shì jiàn	собы́тие|sobytie	evento|/eˈβ̞ẽn̪t̪o/
future	time	будущее	понятие или предмет: будущее	future|/ˈfjutʃɝ/	avenir|/avniʁ/	Zukunft|/ˈt͡suːˌkʊnft/	مُسْتَقْبَل|mustaqbal	未来|wèi lái	бу́дущее|budushchee	futuro|/fuˈt̪uɾo/
half	time	половина	понятие или предмет: половина	half|/ˈhæf/	moitié|/mwatje/	Hälfte|/ˈhɛlftə/	نِصْف|nisf	半|bàn	полови́на|polovina	mitad|/miˈt̪að̞/
hour	time	час	понятие или предмет: час	hour|/ˈaʊɝ/	heure|/œʁ/	Stunde|/ˈʃtʊndə/	سَاعَة|saaaaa	小时|xiǎo shí	час|chas	hora|/ˈoɾa/
space	time	пространство	понятие или предмет: пространство	space|/ˈspeɪs/	espace|/ɛspas/	Raum|/ʁaʊ̯m/	فَضَاء|fadaa	空间|kōng jiān	простра́нство|prostranstvo	espacio|/esˈpasjo/
later	time	позже	понятие или предмет: позже	later|/ˈɫeɪtɝ/	plus tard|/ply taʁ/	später|/ˈʃpɛːtɐ/	فِيمَا بَعْد|fiymaa baad	更迟|gèng chí	по́зже|pozzhe	después|/d̪esˈpwes/
midnight	time	полночь	понятие или предмет: полночь	midnight|/ˈmɪdˌnaɪt/	minuit|/minɥi/	Mitternacht|/ˈmɪtɐˌnaxt/	مُنْتَصَف لَيْل|muntasaf layl	午夜|wǔ yè	по́лночь|polnoch	medianoche|/með̞jaˈnot͡ʃe/
moment	time	момент	понятие или предмет: момент	moment|/ˈmoʊmənt/	instant|/ɛ̃stɑ̃/	Augenblick|/ˈaʊ̯ɡŋ̍ˌblɪk/	لَحْظَة|lahzaa	瞬间|shùn jiān	моме́нт|moment	momento|/moˈmẽn̪t̪o/
never	time	никогда	понятие или предмет: никогда	never|/ˈnɛvɝ/	jamais|/ʒamɛ/	nie|/niː/	أَبَدًا|aabadana	从未|cóng wèi	никогда́|nikogda	nunca|/ˈnũŋka/
next	time	следующий	понятие или предмет: следующий	next|/ˈnɛks/	prochain|/pʁɔʃɛ̃/	nächster|/ˈnɛːçstɐ/	تَالٍ|taalin	下一个|xià yí gè	сле́дующий|sleduyushchii	siguiente|/siˈɣ̞jẽn̪t̪e/
once	time	один раз	понятие или предмет: один раз	once|/ˈwəns/	une fois|/\yn fwa\/	einmal|/ˈaɪ̯nmaːl/	مَرَّةً|maraaan	一次|yī cì	оди́н раз|odin raz	una vez|/ˈuna ˈbes/
past	time	прошлый	понятие или предмет: прошлый	past|/ˈpæst/	passé|/pase/	vergangen|/fɛɐ̯ˈɡaŋən/	مَاضٍ|maadin	过去|guò qù	про́шлый|proshlyi	pasado|/paˈsað̞o/
period	time	период	понятие или предмет: период	period|/ˈpɪɹiəd/	période|/peʁjɔd/	Zeitraum|/ˈt͡saɪ̯tˌʁaʊ̯m/	فَتْرَة|fatraa	时期|shí qī	пери́од|period	período|/peˈɾioð̞o/
quarter	time	четверть	понятие или предмет: четверть	quarter|/ˈkwɔɹtɝ/	quart|/kaʁ/	Viertel|/ˈfiːɐ̯tl̩/	رُبُع|rubua	四分之一|sì fēn zhī yī	че́тверть|chetvert	cuarto|/ˈkwaɾt̪o/
soon	time	скоро	понятие или предмет: скоро	soon|/ˈsun/	bientôt|/bjɛ̃to/	bald|/balt/	قَرِيبًا|qariybana	不久|bù jiǔ	ско́ро|skoro	pronto|/ˈpɾõn̪t̪o/
start	time	начинать	действие: начинать	start|/ˈstɑɹt/	commencer|/kɔmɑ̃se/	anfangen|/ˈanˌfaŋən/	بَدَأَ|badaaa	开始|kāi shǐ	начина́ть|nachinat	empezar|/ẽmpeˈsaɾ/
still	time	всё ещё	понятие или предмет: всё ещё	still|/ˈstɪɫ/	encore|/ɑ̃kɔʁ/	noch|/nɔx/	مَا زَالَ|maa zaala	还|hái	всё ещё|vse eshche	todavía|/t̪oð̞aˈβ̞ia/
then	time	тогда	понятие или предмет: тогда	then|/ˈðɛn/	alors|/alɔʁ/	dann|/dan/	آنَذَاكَ|aanadhaaka	当时|dāng shí	тогда́|togda	entonces|/ẽn̪ˈt̪õnses/
tonight	time	сегодня вечером	понятие или предмет: сегодня вечером	tonight|/təˈnaɪt/	ce soir|/\sə\ \swaʁ\/	heute Abend|/ˈhɔɪ̯tə ˈaːbn̩t/	هٰذَا الْمَسَاء|hdhaa almasaa	今晚|jīn wǎn	сего́дня ве́чером|segodnya vecherom	esta noche|/ˈest̪a ˈnot͡ʃe/
twice	time	дважды	понятие или предмет: дважды	twice|/ˈtwaɪs/	deux fois|/\dø\ \fwa\/	zweimal|/ˈt͡svaɪ̯maːl/	مَرَّتَيْن|maratayn	两次|liǎng cì	два́жды|dvazhdy	dos veces|/ˈd̪os ˈbeses/
weekend	time	уик-энд	понятие или предмет: уик-энд	weekend|/ˈwiˌkɛnd/	week-end|/wikɛnd/	Wochenende|/ˈvɔxn̩ˌʔɛndə/	نِهَايَة الْأُسْبُوع|nihaayaa alausbuwa	周末|zhōu mò	уик-э́нд|uik-end	fin de semana|/ˈfĩn̪ d̪e seˈmana/
always	time	всегда	понятие или предмет: всегда	always|/ˈɔɫˌweɪz/	toujours|/tuʒuʁ/	immer|/ˈɪmɐ/	دَائِمًا|daaiimana	总是|zǒng shì	всегда́|vsegda	siempre|/ˈsjẽmpɾe/
again	time	снова	понятие или предмет: снова	again|/əˈɡeɪn/	de nouveau|/\də nu.vo\/	wieder|/ˈviːdɐ/	مَرَّة أُخْرَى|maraa aukhraa	再|zài	сно́ва|snova	otra vez|/ˈot̪ɾa ˈβ̞es/
sometimes	time	иногда	понятие или предмет: иногда	sometimes|/ˈsəmˌtaɪmz/	parfois|/paʁfwa/	manchmal|/ˈmançmaːl/	أَحْيَانًا|aahyaanana	有时|yǒu shí	иногда́|inogda	a veces|/a ˈβ̞eses/
usually	time	обычно	понятие или предмет: обычно	usually|/ˈjuʒəɫi/	généralement|/ʒeneʁalmɑ̃/	gewöhnlich|/ɡəˈvøːnlɪç/	عَادَةً|aaadaaan	通常|tōng cháng	обы́чно|obychno	usualmente|/uˌswalˈmẽn̪t̪e/
often	time	часто	понятие или предмет: часто	often|/ˈɔfən/	souvent|/suvɑ̃/	häufig|/ˈhɔɪ̯fɪk/	كَثِيرًا|kathiyrana	经常|jīng cháng	ча́сто|chasto	a menudo|/a meˈnuð̞o/
probably	time	вероятно	понятие или предмет: вероятно	probably|/ˈpɹɑbəˌbɫi/	probablement|/pʁɔbabləmɑ̃/	wahrscheinlich|/vaːɐ̯ˈʃaɪ̯nlɪç/	مِن اَلْمُحْتَمَل|min aalmuhtamal	或许|huò xǔ	вероя́тно|veroyatno	probablemente|/pɾoˌβ̞aβ̞leˈmẽn̪t̪e/
action	work	действие	понятие или предмет: действие	action|/ˈækʃən/	action|/aksjɔ̃/	Handlung|/ˈhandlʊŋ/	عَمَل|aamal	行动|xíng dòng	де́йствие|deistvie	acción|/aˈkθjon/
activity	work	деятельность	понятие или предмет: деятельность	activity|/ækˈtɪvəti/	activité|/aktivite/	Aktivität|/aktiviˈtɛːt/	نَشَاط|nashaat	活动|huó dòng	де́ятельность|deyatelnost	actividad|/aktiβiðað/
business	work	предприятие	понятие или предмет: предприятие	business|/ˈbɪznəs/	entreprise|/ɑ̃tʁəpʁiz/	Unternehmen|/ʊntɐˈneːmən/	أَعْمَال|aaamaal	事业|shì yè	предприя́тие|predpriyatie	negocio|/neˈɣ̞osjo/
chart	work	диаграмма	понятие или предмет: диаграмма	chart|/ˈtʃɑɹt/	graphique|/gʁafik/	Diagramm|/diaˈɡʁam/	مُخَطَّط بَيَانِيّ|mukhatat bayaaniy	图表|tú biǎo	диагра́мма|diagramma	gráfico|/ˈɡɾafiko/
check	work	проверять	действие: проверять	check|/ˈtʃɛk/	vérifier|/veʁifje/	überprüfen|/yːbɐˈpʁyːfn̩/	فَحَصَ|fahasa	检查|jiǎn chá	проверя́ть|proveryat	verificar|/beɾifiˈkaɾ/
classroom	work	классная комната	понятие или предмет: классная комната	classroom|/ˈkɫæsˌɹum/	salle de classe|/\sal də klas\/	Klassenzimmer|/ˈklasn̩ˌt͡sɪmɐ/	غُرْفَة صَفّ|ghurfaa saf	教室|jiào shì	кла́ссная ко́мната|klassnaya komnata	aula|/aula/
college	work	колледж	понятие или предмет: колледж	college|/ˈkɑɫɪdʒ/	université|/ynivɛʁsite/	Hochschule|/ˈhoːxˌʃuːlə/	كُلِّيَّة|kuliyaa	大学|dà xué	ко́лледж|kolledzh	universidad|/uniβ̞eɾsiˈð̞að̞/
company	work	компания	понятие или предмет: компания	company|/ˈkəmpəˌni/	société|/sɔsjete/	Gesellschaft|/ɡəˈzɛlʃaft/	شَرِكَة|sharikaa	公司|gōng sī	компа́ния|kompaniya	empresa|/ẽmˈpɾesa/
compare	work	сравнивать	действие: сравнивать	compare|/kəmˈpɛɹ/	comparer|/kɔ̃paʁe/	vergleichen|/fɛɐ̯ˈɡlaɪ̯çn̩/	قَارَنَ|qaarana	比|bǐ	сра́внивать|sravnivat	comparar|/kõmpaˈɾaɾ/
